Spell name / Wiki-page,Required-flag / card_unlocked_,,
Omega Disk Projectile,everything,,
Summon Deercoy,exploding_deer,,
Flock of Ducks,exploding_deer,,
Worm Launcher,exploding_deer,,
Tentacle,tentacle,,
Tentacle,tentacle,,
Spiral Shot,spiral_shot,,
??? (Spell),funky,,
Holy Bomb,bomb_holy,,
Earthquake,crumbling_earth,,
Cement (Spell),material_cement,,
Nuke,nuke,,
Giga Nuke,nukegiga,,
Fireworks!,firework,,
Destruction,destruction,,
Octuple Spell,musicbox,,
Myriad Spell,musicbox,,
Nolla,pyramid,,
Slow But Steady,maths,,
Spell Duplication,mestari,,
Random Damage,pyramid,,
Necromancy,necromancy,,
Sea of Lava,sea_lava,,
Thundercloud,cloud_thunder,,
Sawblade Orbit,dragon,,
Fireball Orbit,dragon,,
Nuke Orbit,dragon,,
Plasma Beam Orbit,dragon,,
Orbit Larpa,dragon,,
Ocarina - Note A,ocarina,,
Ocarina - Note B,ocarina,,
Ocarina - Note C,ocarina,,
Ocarina - Note D,ocarina,,
Ocarina - Note E,ocarina,,
Ocarina - Note F,ocarina,,
Ocarina - Note G#,ocarina,,
Ocarina - Note A2,ocarina,,
Kantele - Note A,kantele,,
Kantele - Note D,kantele,,
Kantele - Note D#,kantele,,
Kantele - Note E,kantele,,
Kantele - Note G,kantele,,
Random Spell,pyramid,,
Random Projectile Spell,pyramid,,
Random Modifier Spell,pyramid,,
Random Static Projectile Spell,pyramid,,
Copy Random Spell,pyramid,,
Copy Random Spell Thrice,pyramid,,
Copy Three Random Spells,pyramid,,
Spells To Nukes,alchemy,,
Spells To Giga Sawblades,alchemy,,
Spells To Magic Missiles,alchemy,,
Spells To Death Crosses,alchemy,,
Spells To Black Holes,alchemy,,
Spells To Acid,alchemy,,
The End of Everything,everything,,
Add Trigger,mestari,,
Add Timer,mestari,,
Add Expiration Trigger,mestari,,
Copy Trail,alchemy,,
Alpha,duplicate,,
Gamma,duplicate,,
Tau,duplicate,,
Omega,duplicate,,
Mu,duplicate,,
Phi,duplicate,,
Sigma,duplicate,,
Zeta,duplicate,,
Divide By 2,musicbox,,
Divide By 3,musicbox,,
Divide By 4,musicbox,,
Divide By 10,divide,,
Meteorisade,rain,,
Matosade,rain,,
Wand Refresh,mestari,,
Requirement - Enemies,maths,,
Requirement - Projectile Spells,maths,,
Requirement - Low Health,maths,,
Requirement - Every Other,maths,,
Requirement - Endpoint,maths,,
Red Glimmer,paint,,
Orange Glimmer,paint,,
Green Glimmer,paint,,
Yellow Glimmer,paint,,
Purple Glimmer,paint,,
Blue Glimmer,paint,,
Rainbow Glimmer,paint,,
Invisible Glimmer,paint,,
Rainbow Trail,rainbow_trail,,
Omega Black Hole,black_hole,,
Giga Holy Bomb,bomb_holy_giga,,
Sea of Mimicium,sea_mimic,,
Touch of Grass,touch_grass,,
Cessation,cessation,,
